word,score,worktime,moneyrating,colleague,job,companyculture,social,growthtraining
g,0,,,,,,,
推奨,0,,,,,,,
信頼,0,,,,,,,
パレクセル,0,,,,,,,
導入,0,,,,,,,
スキルアップ,0,,,,,,,
休日,0,1,,,,,,
一番,0,,,,,,,
新人,0,,,,,,,
LM,0,,,,,,,
志向性,0,,,,,,,
収入,0,,,,,,,
W,0,,,,,,,
B,0,,,,,,,
みんな,0,,,,,,,
こちら,0,,,,,,,
訳,0,,,,,,,
雇用,0,,,,,,,
k,0,,,,,,,
数字,0,,,,,,,
外,0,,,,,,,
プレッシャー,0,,,,,,,
より,0,,,,,,,
要素,0,,,,,,,
個々,0,,,,,,,
6点,0,,,,,,,
すぐ,0,,,,,,,
結婚,0,,,,,,,
い方,0,,,,,,,
つらい,-1,,,,,,,
質問,0,,,,,,,
1点,0,,,,,,,
他人,0,,,,,,,
スタイル,0,,,,,,,
重要,0,,,,,,,
仕方,0,,,,,,,
有休,0,1,,,,,,
志,0,,,,,,,
やはり,0,,,,,,,
しんどい,-1,,,,,,,
以降,0,,,,,,,
範囲,0,,,,,,,
製薬,0,,,,,,,
側,0,,,,,,,
実績,0,,,,,,,
一般,0,,,,,,,
質,0,,,,,,,
回答,0,,,,,,,
協力,0,,,,,,,
定年,0,,,,,,,
部,0,,,,,,,
選択,0,,,,,,,
正社員,0,,,,,,,
所,0,,,,,,,
幅,0,,,,,,,
U,0,,,,,,,
進め方,0,,,,,,,
SSI,0,,,,,,,
弊社,0,,,,,,,
実力,0,,,,,,,
全力,0,,,,,,,
職務,0,,,,,,,
性格,0,,,,,,,
思考,0,,,,,,,
まわり,0,,,,,,,
発揮,0,,,,,,,
知名度,0,,,,,,,
4,0,,,,,,,
外資系,0,,,,,,,
個々人,0,,,,,,,
懸念,0,,,,,,,
1人,0,,,,,,,
マネージャー,0,,,,,,,
9点,0,,,,,,,
土日,0,1,,,,,,
中間,0,,,,,,,
情報,0,,,,,,,
不足,0,,,,,,,
体系,0,,,,,,,
残念,-1,,,,,,,
ほぼ,0,,,,,,,
一,0,,,,,,,
世間,0,,,,,,,
スタンス,0,,,,,,,
出産,0,1,,,,,,
設定,0,,,,,,,
外勤,0,,,,,,,
相当,0,,,,,,,
精神的,0,,,,,,,
決して,0,,,,,,,
キャリアプラン,0,,,,,,,
CA,0,,,,,,,
転勤,0,,,,,,,
一概,0,,,,,,,
技術者,0,,,,,,,
在宅,0,,,,,,,
0,0,,,,,,,
存在,0,,,,,,,
離職率,0,,,,,1,,
事実,0,,,,,,,
様,0,,,,,,,
勉強,0,,,,,,,
共有,0,,,,,,,
精神,0,,,,,,,
スタッフ,0,,,,,,,
簡単,0,,,,,,,
フィールド,0,,,,,,,
無駄,0,,,,,,,
雇用形態,0,,,,,,,
普通,0,,,,,,,
左右,0,,,,,,,
6,0,,,,,,,
Global,0,,,,,,,
総合的,0,,,,,,,
就職,0,,,,,,,
M,0,,,,,,,
ビジネス,0,,,,,,,
ススメ,0,,,,,,,
ｲ,0,,,,,,,
就業,0,,,,,,,
もし,0,,,,,,,
きつい,-1,,,,,,,
受託,0,,,,,,,
残業時間,0,1,,,,,,
3点,0,,,,,,,
対象,0,,,,,,,
高さ,0,,,,,,,
皆,0,,,,,,,
想定,0,,,,,,,
展開,0,,,,,,,
昇格,0,,1,,,,,
好きな人,0,,,,,,,
GE,0,,,,,,,
時期,0,,,,,,,
たち,0,,,,,,,
裁量権,0,,,,1,,,
うまく,0,,,,,,,
製薬会社,0,,,,,,,
署,0,,,,,,,
個性,0,,,,,,,
集中,0,,,,,,,
各種,0,,,,,,,
努力,0,,,,,,,
メンタル,0,,,,,,,
o,0,,,,,,,
長,0,,,,,,,
多様性,0,,,1,,,,
課,0,,,,,,,
声,0,,,,,,,
東京,0,,,,,,,
該当,0,,,,,,,
ハッキリ,0,,,,,,,
エンジニア,0,,,,,,,
幅広い,0,,,,,,,
視点,0,,,,,,,
フラット,0,,,,,,,
リソース,0,,,,,,,
喜び,1,,,,,,,
自社,0,,,,,,,
忙し,0,1,,,,,,
同期,0,,,,,,,
7,0,,,,,,,
有給,0,1,,,,,,
弱い,-1,,,,,,,
達成,0,,,,,,,
ｺ,0,,,,,,,
方向,0,,,,,,,
処遇,0,,1,,,,,
例,0,,,,,,,
良好,1,,,,,,,
とも,0,,,,,,,
海外,0,,,,,,,
広く,0,,,,,,,
一部,0,,,,,,,
h,0,,,,,,,
年次,0,,,,,,,
異動,0,,,,,,,
ニーズ,0,,,,,,,
外資,0,,,,,,,
何とも,0,,,,,,,
人材育成,0,,,,,,,1
体力,0,,,,,,,
Will,0,,,,,,,
近い,0,,,,,,,
在籍,0,,,,,,,
場面,0,,,,,,,
スケジュール,0,,,,,,,
福利,0,,1,,,,,
ギャップ,0,,,,,,,
労働条件,0,1,,,,,,
もう少し,-1,,,,,,,
外部,0,,,,,,,
教育制度,0,,,,,,,1
易い,1,,,,,,,
圧倒的,0,,,,,,,
その他,0,,,,,,,
育成,0,,,,,,,1
がち,0,,,,,,,
RA,0,,,,,,,
本音,0,,,,,,,
不十分,-1,,,,,,,
基本,0,,,,,,,
拠点,0,,,,,,,
日本企業,0,,,,,,,
あわ,0,,,,,,,
一定,0,,,,,,,
新入社員,0,,,,,,,
水準,0,,,,,,,
ばらつき,0,,,,,,,
困難,-1,,,,,,,
発生,0,,,,,,,
取り組み,0,,,,,,,
自主,0,,,,,,,
年収,0,,,,,,,
リスク,0,,,,,,,
鬼,0,,,,,,,
製品,0,,,,,,,
ずっと,0,,,,,,,
お互い,0,,,,,,,
8,0,,,,,,,
適正,0,,,,,,,
特徴,0,,,,,,,
想い,0,,,,,,,
ルール,0,,,,,,,
SMO,0,,,,,,,
ハードル,0,,,,,,,
大好き,1,,,,,,,
8,0,,,,,,,
配慮,0,,,,,,,
衢,0,,,,,,,
依頼,0,,,,,,,
強,0,,,,,,,
事情,0,,,,,,,
あと,0,,,,,,,
ﾅ,0,,,,,,,
人財,0,,,,,,,
同業他社,0,,,,,,,
型,0,,,,,,,
ライフスタイル,0,,,,,,,
欲しい,0,,,,,,,
魅力的,0,,,,,,,
無理,0,,,,,,,
関連,0,,,,,,,
・,0,,,,,,,
年代,0,,,,,,,
感覚,0,,,,,,,
ただ,0,,,,,,,
やり方,0,,,,,,,
適応,1,,,,,,,
さらに,0,,,,,,,
発言,0,,,,,,,
一生,0,,,,,,,
柔軟性,0,,,,,,,
安易,0,,,,,,,
タフ,0,,,,,,,
組織風土,0,,,,,1,,
就業時間,0,1,,,,,,
カンパニー,0,,,,,,,
まったく,0,,,,,,,
優先,0,,,,,,,
慎重,0,,,,,,,
いま,0,,,,,,,
激務,0,1,,,,,,
闊達,0,,,,,,,
領域,0,,,,,,,
社会人,0,,,,,,,
大量,0,,,,,,,
全社,0,,,,,,,
メーカー,0,,,,,,,
社外,0,,,,,,,
地区,0,,,,,,,
日,0,,,,,,,
復帰,0,,,,,,,
毎日,0,,,,,,,
言葉,0,,,,,,,
ものすごく,0,,,,,,,
下,0,,,,,,,
ちょっと,0,,,,,,,
らい,0,,,,,,,
全体的,0,,,,,,,
COL,0,,,,,,,
特有,0,,,,,,,
1年目,0,,,,,,,
厳し,0,,,,,,,
やさしい,1,,,,,,,
リーディング,0,,,,,,,
ＲＣＡ,0,,,,,,,
早く,0,,,,,,,
未来,0,,,,,,,
勤務形態,0,,,,,,,
心配,0,,,,,,,
切磋琢磨,0,,,,,,,
サービス,0,,,,,,,
基準,0,,,,,,,
そのため,0,,,,,,,
結構,0,,,,,,,
忙しく,-1,1,,,,,,
グローバルな,0,,,,,,,
当然,0,1,,,,,,
ハードワーク,0,,,,,,,
面談,0,,,,,,,
平均,0,,,,,,,
具体的,0,,,,,,,
人柄,0,,,1,,,,
偏り,0,,,,,,,
どうしても,0,,,,,,,
長さ,0,,,,,,,
立地,0,,,,,,,
7,0,,,,,,,
e,0,,,,,,,
疲弊,-1,,,,,,,
WLB,0,,,,,,,
エネルギー,0,,,,,,,
長期的,0,,,,,,,
良し,0,,,,,,,
出勤,0,,,,,,,
激しく,0,,,,,,,
素敵,0,,,,,,,
R,0,,,,,,,
過多,-1,,,,,,,
抵抗,0,,,,,,,
一生懸命,0,,,,,,,
若干,0,,,,,,,
人事評価,0,,1,,,,,
解決,0,,,,,,,
S,0,,,,,,,
強み,0,,,,,,,
キャリアアップ,0,,,,,,,
職業,0,,,,,,,
両方,0,,,,,,,
推進,0,,,,,,,
当たり前,0,,,,,,,
設備,0,,,,,,,
ー,0,,,,,,,
達成感,0,,,,,,,
絶対,0,,,,,,,
新薬,0,,,,,,,
賞与,0,,,,,,,
ひと,0,,,,,,,
バリバリ,0,,,,,,,
高,0,,,,,,,
競合,0,,,,,,,
事業所,0,,,,,,,
ん,0,,,,,,,
仲,0,,,,,,,
ﾕ,0,,,,,,,
生命,0,,,,,,,
直接,0,,,,,,,
制,0,,,,,,,
後輩,0,,,,,,,
帰宅,0,,,,,,,
他者,0,,,,,,,
同士,0,,,,,,,
